,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
0,1125,156,35000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,5,0.0
1,1153,156,35000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
2,1083,156,35000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,4,0.0
3,1240,156,35000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
4,1607,156,35000,2.0,94.0,1,0.0,0.0,0.0,0.0,0.0,94.0,44.0,2.0,4,0.0
5,999,156,35000,5.0,300.0,1,0.0,0.0,0.0,0.0,0.0,300.0,300.0,2.0,5,0.0
6,1021,156,35000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,493.0,2.0,6,0.0
7,1183,156,35000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,160.0,2.0,4,0.0
8,1381,156,35000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
9,1707,156,37500,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
10,1000,156,39000,2.0,120.0,2,0.0,0.0,0.0,1.0,10.0,120.0,99.0,2.0,1,0.0
11,1783,110,39000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
12,1125,440,39000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,310.0,2.0,0,0.0
13,518,156,39000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
14,1748,156,39400,2.0,15.0,1,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.0,1,0.0
15,518,156,39500,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
16,1444,156,39999,2.0,62.0,2,0.0,1.0,7.0,1.0,56.0,62.0,95.0,2.0,4,0.0
17,1002,423,40000,2.0,18.0,3,0.0,0.0,0.0,0.0,0.0,18.0,18.0,2.0,4,0.0
18,608,156,40000,2.0,76.0,1,0.0,0.0,0.0,0.0,0.0,76.0,114.0,2.0,4,0.0
